SampleID,Type,is.neg,dilution
Env1,SamplingControl,FALSE,NA
Env2,SamplingControl,FALSE,NA
Env3,SamplingControl,FALSE,NA
Env4,SamplingControl,FALSE,NA
Env5,SamplingControl,FALSE,NA
Env6,SamplingControl,FALSE,NA
Env7,SamplingControl,FALSE,NA
Env8,SamplingControl,FALSE,NA
Env9,SamplingControl,FALSE,NA
Env10,SamplingControl,FALSE,NA
Env11,SamplingControl,FALSE,NA
Env12,SamplingControl,FALSE,NA
PCRBlank1,Blank,TRUE,NA
PCRBlank2,Blank,TRUE,NA
PCRBlank3,Blank,TRUE,NA
PCRBlank4,Blank,TRUE,NA
ExtBlankA10,Blank,TRUE,NA
ExtBlankB10,Blank,TRUE,NA
ExtBlankC10,Blank,TRUE,NA
ExtBlankD10,Blank,TRUE,NA
ExtBlankE10,Blank,TRUE,NA
ExtBlankF10,Blank,TRUE,NA
ExtBlankG10,Blank,TRUE,NA
ExtBlankH10,Blank,TRUE,NA
ZymoMockA,Mock,FALSE,D0
ZymoMockB,Mock,FALSE,D1
ZymoMockC,Mock,FALSE,D2
ZymoMockD,Mock,FALSE,D3
ZymoMockE,Mock,FALSE,D4
ZymoMockF,Mock,FALSE,D5
ZymoMockG,Mock,FALSE,D6
ZymoMockH,Mock,FALSE,D7
