ASV,PatientUrine1,PatientUrine10,PatientUrine11,PatientUrine12,PatientUrine13,PatientUrine14,PatientUrine15,PatientUrine16,PatientUrine17,PatientUrine18,PatientUrine19,PatientUrine2,PatientUrine20,PatientUrine21,PatientUrine22,PatientUrine23,PatientUrine24,PatientUrine25,PatientUrine26,PatientUrine27,PatientUrine28,PatientUrine29,PatientUrine3,PatientUrine30,PatientUrine31,PatientUrine32,PatientUrine33,PatientUrine34,PatientUrine35,PatientUrine36,PatientUrine37,PatientUrine38,PatientUrine39,PatientUrine4,PatientUrine40,PatientUrine41,PatientUrine42,PatientUrine43,PatientUrine44,PatientUrine45,PatientUrine46,PatientUrine47,PatientUrine48,PatientUrine49,PatientUrine5,PatientUrine50,PatientUrine6,PatientUrine7,PatientUrine8,PatientUrine9
ASV_1,48,368,225,358,66,326,476,279,215,193,353,234,327,93,677,224,692,225,314,403,771,249,554,309,314,69,0,345,248,312,285,73,322,0,461,118,15,0,174,501,566,253,357,262,41,112,0,243,298,245
ASV_2,419,0,810,188,100,379,53,263,73,396,761,64,380,144,638,0,820,333,262,0,548,164,324,0,540,28721,670,136,225,267,576,200,425,325,780,127,419,393,481,667,180,147,443,485,175,1384,337,589,1393,134
ASV_3,169,396,19,101,143,98,396,143,60,422,0,174,287,159,59,43,162,276,0,254,83,0,103,266,0,298,185,260,0,339,0,0,1610,121,282,0,81,117,256,0,242,235,219,116,0,133,187,82,0,59
ASV_4,0,0,0,0,58,0,0,116,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,199,0,125,0,239,0,0,977,0,0,0,0,53,0,57,0,0,0,0,0,118,0,0,588,0
ASV_5,139,149,102,225,0,0,6,213,0,129,0,76,102,118,0,0,0,163,0,169,52,72,0,150,122,135,77,288,2,96,142,155,754,0,234,0,0,67,0,0,126,112,0,170,67,28,0,45,0,182
ASV_6,0,0,268,0,0,3,0,50,0,0,32,171,0,7586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,144,0,0,181,192,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0
ASV_7,0,0,0,0,0,0,0,0,0,0,0,0,0,5287,0,0,41,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_8,345,251,335,115,155,93,137,373,77,168,293,203,303,182,228,175,196,184,262,156,133,108,159,439,296,153,216,199,105,341,185,240,79,312,168,107,121,140,176,255,243,145,213,70,107,257,272,38,122,73
ASV_9,0,0,0,0,0,0,0,0,0,9247,0,0,0,0,0,78,0,0,121,0,0,50,0,127,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
ASV_10,0,0,0,0,0,2334,0,0,0,8460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_11,198,281,281,253,205,242,139,530,229,197,264,288,280,369,245,381,388,144,297,229,163,83,386,489,154,273,206,241,294,259,192,238,114,92,169,307,276,91,203,420,151,342,324,235,331,245,475,286,520,399
ASV_12,44,50,163,197,39,164,68,91,53,109,94,203,143,103,73,34,209,285,0,53,170,185,127,122,170,164,94,82,70,95,119,56,31,183,44,81,96,28,0,150,85,97,136,67,144,40,165,40,405,78
ASV_13,143,225,87,131,245,133,55,82,87,122,160,68,187,103,114,118,75,45,194,77,152,49,173,167,87,25,64,212,72,0,140,138,31,101,148,116,137,43,116,181,170,132,140,176,51,214,71,70,256,130
ASV_14,242,0,457,23,0,0,66,792,239,317,69,191,0,310,485,82,0,0,290,20,56,0,0,81,679,178,99,359,0,29,0,599,0,0,0,0,1410,0,0,178,0,17,0,154,83,120,277,27,224,0
ASV_15,0,0,370,119,29,162,85,54,0,150,0,1056,0,322,0,301,0,320,758,307,138,0,214,683,478,0,303,0,252,188,159,482,3140,374,52,581,168,517,142,83,96,969,0,78,145,423,0,164,810,539
ASV_16,0,0,0,0,0,0,0,0,19667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
ASV_17,167,221,0,185,0,112,16,71,0,183,120,40,0,431,0,28,692,0,152,333,0,0,270,214,0,725,0,61,0,308,233,0,273,104,74,0,0,370,158,330,287,378,109,140,0,210,281,15,256,705
ASV_18,129,0,0,264,239,154,93,378,147,0,0,102,188,551,537,119,348,122,300,0,131,0,0,0,0,193,110,337,298,480,0,0,226,0,296,28,299,132,108,158,0,419,0,260,168,362,399,234,0,0
ASV_19,0,0,292,0,63,1486,25,170,0,0,0,77,0,3663,0,0,0,0,95,0,0,0,9,0,0,0,0,0,203,63,121,0,382,39,0,0,0,0,0,109,0,118,0,0,0,71,0,0,0,0
