Family,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50
Acidiferrobacteraceae,2,2,0,2,2,2,0,2,2,2,2,0,0,2,0,2,0,0,2,0,0,0,0,2,2,2,0,0,2,0,2,2,2,2,0,0,0,2,0,2,2,2,0,0,0,2,0,0,0,2
Actinomycetaceae,0,1,0,1,3,3,2,0,0,2,2,3,3,3,2,0,2,2,0,0,2,0,1,2,0,1,0,0,0,0,2,0,0,0,2,3,0,0,3,2,1,0,0,0,0,1,0,1,2,3
Aerococcaceae,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Akkermansiaceae,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,2,2
Alteromonadaceae,2,2,2,0,0,2,0,2,0,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,0
Bacillaceae,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bifidobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brevibacteriaceae,2,2,0,0,0,0,2,0,0,2,2,2,0,2,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0,2,2,2,2,0,0,2,2,2,0,2,0,0,2,0,2,0
Campylobacteraceae,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2
Caulobacteraceae,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,2,0,2,2,2,0,2,2,2,0,2,2,2,2,2,0,2,2,2,0,2,0,2,2,2,0,2,0,2,2,2
